Name,Price,Price (Value),City,Distance,Distance (Value),Year,Category,Sub-Category
Nissan Sunny 1987 Abbottabad register,"Rs.  550,000",550000, Khyber Pakhtunkhwa,"124,000 km",124000,1987,Cars,Nissan
every Nissan 15/20/22 brand new tir indrod back camerah,"Rs.  2,180,000",2180000, Gujranwala,"100,000 km",100000,2020,Cars,Nissan
Nissan Sunny Supersaloon (japnese model) automatic,"Rs.  810,000",810000, Karachi,"40,000 km",40000,2006,Cars,Nissan
NISSAN JUKE 1st owner,"Rs.  2,900,000",2900000, Karachi,"155,000 km",155000,2019,Cars,Nissan
Nissan Dayz 2020 (660cc Hybrid),"Rs.  4,250,000",4250000, Karachi,"28,000 km",28000,2020,Cars,Nissan
nissan clipper,"Rs.  1,325,000",1325000, Sialkot,"72,000 km",72000,2013,Cars,Nissan
Nissan Juke 2011 model for sale,"Rs.  3,300,000",3300000, Rawalpindi,"170,000 km",170000,2011,Cars,Nissan
NISSAN CLIPPER RIO TURBO,"Rs.  1,300,000",1300000, Karachi,"157,000 km",157000,2009,Cars,Nissan
NISSAN-SUNNY B12-1000cc,"Rs.  400,000",400000, Karachi,"200,000 km",200000,1989,Cars,Nissan
Nissan otti,"Rs.  1,400,000",1400000, Karachi,14 km,14,2007,Cars,Nissan
"Nissan sunny demand 1650000 ,, contact 03218863863","Rs.  1,650,000",1650000, Faisalabad,"170,000 km",170000,2005,Cars,Nissan
Nissan sunny  argunt selling arguntly,"Rs.  550,000",550000, Sahiwal,"400,000 km",400000,1993,Cars,Nissan
Nissan Dayz J,"Rs.  2,350,000",2350000, Karachi,"100,000 km",100000,2016,Cars,Nissan
Nissan waggon,"Rs.  2,400,000",2400000, Kharian,"132,000 km",132000,2018,Cars,Nissan
nissan sunny,"Rs.  300,000",300000, Islamabad,"143,000 km",143000,1986,Cars,Nissan
Nissan sunny saloon 2006 look like new,"Rs.  1,250,000",1250000, Karachi,"100,000 km",100000,2006,Cars,Nissan
Nissan Juke SUV Top of the Line,"Rs.  2,800,000",2800000, Faisalabad,"122,000 km",122000,2016,Cars,Nissan
Nissan Moco for Sale no exchange,"Rs.  2,185,000",2185000, Lahore,"76,400 km",76400,2013,Cars,Nissan
Nissan dayz high way star   13 by 17,"Rs.  2,350,000",2350000, Gujranwala,"120,000 km",120000,2017,Cars,Nissan
Nissan ad 2006/2011,"Rs.  1,175,000",1175000, Toba Tek singh,"123,456 km",123456,2006,Cars,Nissan
Nissan dayz,"Rs.  2,975,000",2975000, Gujranwala,"58,890 km",58890,2018,Cars,Nissan
Nissan Sunny Ex Saloon Automatic (Pearl White) 1.3,"Rs.  1,250,000",1250000, Karachi,2 km,2,2006,Cars,Nissan
Nissan Sunny Automatic,"Rs.  690,000",690000, Karachi,"123,456 km",123456,1999,Cars,Nissan
First Owner NISSAN MARCH MODEL 1997-2007. AUTOMATIC,"Rs.  815,000",815000, Karachi,"98,331 km",98331,2007,Cars,Nissan
Nissan Tida 2007 registered 2009 / Corolla / Honda,"Rs.  1,550,000",1550000, Karachi,"81,000 km",81000,2009,Cars,Nissan
Nissan clipper,"Rs.  2,430,000",2430000, Gujranwala,"140,000 km",140000,2017,Cars,Nissan
NISSAN SUNNY 84,"Rs.  350,000",350000, Haripur,"123,456 km",123456,1984,Cars,Nissan
NISSAN DAYZ FULL OPTION 15/18,"Rs.  2,450,000",2450000, Jhelum,"66,000 km",66000,2018,Cars,Nissan
Nissan,"Rs.  2,300,000",2300000, Sialkot,"149,680 km",149680,2014,Cars,Nissan
NISSAN every,"Rs.  2,200,000",2200000, Abbottabad,"25,000 km",25000,2021,Cars,Nissan
Nissan sunny love 2000 16 engine,"Rs.  700,000",700000, Khyber Pakhtunkhwa,"999,999 km",999999,2000,Cars,Nissan
Nissan DayZ full option push start bumper to bumper original,"Rs.  2,100,000",2100000, Karachi,"67,000 km",67000,2015,Cars,Nissan
Nissan Sunny ex saloon 1300,"Rs.  1,850,000",1850000, Rawalpindi,"106,000 km",106000,2006,Cars,Nissan
Nissan sunny 1999,"Rs.  780,000",780000, Islamabad,"99,000 km",99000,1999,Cars,Nissan
Nissan Clipper 2014/19,"Rs.  1,800,000",1800000, Karachi,"70,000 km",70000,2014,Cars,Nissan
nissan calliper 2015  2021,"Rs.  2,150,000",2150000, Karachi,"285,000 km",285000,2015,Cars,Nissan
Nissan Dayz X Package,"Rs.  3,850,000",3850000, Islamabad,"4,000 km",4000,2020,Cars,Nissan
suzuki every nissan mono 2014/2018,"Rs.  2,150,000",2150000, Lahore,"66,000 km",66000,2014,Cars,Nissan
18/22/22 Nissan note medalist,"Rs.  4,850,000",4850000, Gujranwala,"80,000 km",80000,2018,Cars,Nissan
urgent sale japani model b11 Nissan sunny,"Rs.  375,000",375000, Murree,"200,000 km",200000,1986,Cars,Nissan
Nissan dayz highway star 2016/17,"Rs.  2,585,000",2585000, Gujranwala,"120,000 km",120000,2016,Cars,Nissan
Nissan dayz roox 2014/2018,"Rs.  1,895,000",1895000, Karachi,"109,900 km",109900,2014,Cars,Nissan
Nissan Sunny 1000cc,"Rs.  360,000",360000, Karachi,"135,000 km",135000,1987,Cars,Nissan
Nissan Sunny 1991,"Rs.  295,000",295000, Okara,"100,000 km",100000,1991,Cars,Nissan
Nissan Dayz Roox,"Rs.  2,650,000",2650000, Lahore,"80,000 km",80000,2017,Cars,Nissan
Nissan blue bird,"Rs.  1,850,000",1850000, Rawalpindi,170 km,170,2006,Cars,Nissan
nissan wingroad 2007 2013,"Rs.  1,885,000",1885000, Sahiwal,"95,804 km",95804,2013,Cars,Nissan
"Nissan Dayz 2021 , Import 2023 , Unregistered","Rs.  3,690,000",3690000, Lahore,"32,000 km",32000,2021,Cars,Nissan
Nissan Sunny 1999,"Rs.  710,000",710000, Rawalpindi,"150,000 km",150000,1999,Cars,Nissan
Nissan clipper two power windows 2013/2019,"Rs.  1,425,000",1425000, Karachi,"75,000 km",75000,2013,Cars,Nissan
nissan clipper,"Rs.  3,450,000",3450000, Karachi,"95,000 km",95000,2018,Cars,Nissan
Nissan clipper Auto 660cc,"Rs.  1,435,000",1435000, Karachi,"82,000 km",82000,2013,Cars,Nissan
nissan sunny geniune condition,"Rs.  600,000",600000, Lahore,18 km,18,1986,Cars,Nissan
Nissan clipper like Suzuki Every,"Rs.  1,135,000",1135000, Multan,"200,000 km",200000,2016,Cars,Nissan
nissan Sunny b12,"Rs.  490,000",490000, Rawalpindi,"299,999 km",299999,1988,Cars,Nissan
nissan sunny 1987,"Rs.  530,000",530000, Peshawar,"200,000 km",200000,1987,Cars,Nissan
Nissan Sunny Super saloon1.6 2010 Total Genuine,"Rs.  1,890,000",1890000, Faisalabad,"69,000 km",69000,2010,Cars,Nissan
NISSAN CLIPPER MANUAL GEAR 2013,"Rs.  1,070,000",1070000, Karachi,"135,000 km",135000,2013,Cars,Nissan
Nissan Days,"Rs.  2,950,000",2950000, Sialkot,"32,000 km",32000,2018,Cars,Nissan
Nissan clipper for sale,"Rs.  1,650,000",1650000, Faisalabad,"65,000 km",65000,2019,Cars,Nissan
Nissan sunny,"Rs.  600,000",600000, Peshawar,"100,000 km",100000,1997,Cars,Nissan
nissan roox,"Rs.  2,400,000",2400000, Sialkot,"123,456 km",123456,2015,Cars,Nissan
nissan Dayz 2016/18 chilled ac throughout petrol,"Rs.  2,195,000",2195000, Karachi,"65,000 km",65000,2016,Cars,Nissan
nissan moco dolce x,"Rs.  1,900,000",1900000, Islamabad,"285,000 km",285000,2014,Cars,Nissan
Nissan sunny urgent for sale,"Rs.  650,000",650000, Islamabad,"37,000 km",37000,1994,Cars,Nissan
Nissan Note Medalist 2019 Black,"Rs.  5,800,000",5800000, Karachi,"78,000 km",78000,2019,Cars,Nissan
nissan double cabin,"Rs.  1,300,000",1300000, Lahore,"300,000 km",300000,1995,Cars,Nissan
Nissan Xtrail 2003 2.0 QR20,"Rs.  2,500,000",2500000, Karachi,"150,000 km",150000,2003,Cars,Nissan
NISSAN SUNNY 1998,"Rs.  650,000",650000, Peshawar,"150,000 km",150000,1998,Cars,Nissan
Nissan BlueBird Sylphy (7/12) Model,"Rs.  2,300,000",2300000, Faisalabad,"78,000 km",78000,2007,Cars,Nissan
Nissan clipper 2014/2019,"Rs.  1,600,000",1600000, Karachi,"96,500 km",96500,2014,Cars,Nissan
Nissan Tida Latio  2006 registered 2012 Automatic,"Rs.  1,750,000",1750000, Karachi,"209,000 km",209000,2006,Cars,Nissan
NISSAN MOCO 2017 MODEL,"Rs.  1,725,000",1725000, Gujranwala,"80,000 km",80000,2013,Cars,Nissan
Nissan day's highway star,"Rs.  2,450,000",2450000, Sialkot,"107,000 km",107000,2017,Cars,Nissan
Sunny Nissan For Sale!!,"Rs.  1,550,000",1550000, Sahiwal,"205,000 km",205000,2005,Cars,Nissan
Nissan sunny 1989 model krachi num 1.5 automatic engine petrol,"Rs.  410,000",410000, Mirpur,"10,000 km",10000,1989,Cars,Nissan
Nissan Sunny for sale,"Rs.  620,000",620000, Faisalabad,"225,800 km",225800,1990,Cars,Nissan
Nissan Sunny,"Rs.  425,000",425000, Islamabad,"185,000 km",185000,1985,Cars,Nissan
"nissan dayz highway star full option 0,3,2,7,4,5,0,7,1,7,3","Rs.  2,175,000",2175000, Lahore,"162,000 km",162000,2017,Cars,Nissan
Nissan Dayz highway star 16/18,"Rs.  2,500,000",2500000, Faisalabad,"48,000 km",48000,2016,Cars,Nissan
Nissan Sunny B12,"Rs.  420,000",420000, Karachi,"999,999 km",999999,1987,Cars,Nissan
Nissan ad for sale,"Rs.  1,320,000",1320000, Wah,"190,000 km",190000,2006,Cars,Nissan
Nissan Dayz Hybrid Full option for sale in Karachi,"Rs.  4,050,000",4050000, Karachi,"33,000 km",33000,2019,Cars,Nissan
Nissan Note e-power 2017-22,"Rs.  4,400,000",4400000, Lahore,"62,000 km",62000,2017,Cars,Nissan
nissan dayz X 2014/17,"Rs.  2,200,000",2200000, Lahore,"120,000 km",120000,2014,Cars,Nissan
"Nissan Moco, 2008 modal ,2013 islamabad Registered.","Rs.  1,525,000",1525000, Rawalpindi,"174,286 km",174286,2008,Cars,Nissan
Nissan blue bird,"Rs.  2,230,000",2230000, Okara,"165,000 km",165000,2007,Cars,Nissan
nissan sunny 1997 model bilqul ok hai,"Rs.  635,000",635000, Faisalabad,"263,982 km",263982,1997,Cars,Nissan
Nissan Dayz for Sale,"Rs.  2,720,000",2720000, Karachi,"72,000 km",72000,2018,Cars,Nissan
Nissan dayz 2015,"Rs.  2,695,000",2695000, Islamabad,"100,000 km",100000,2015,Cars,Nissan
nissan dayz 2013,"Rs.  2,100,000",2100000, Peshawar,124 km,124,2013,Cars,Nissan
Nissan Sunny for sale,"Rs.  420,000",420000, Rawalpindi,"180,000 km",180000,1988,Cars,Nissan
Nissan tiida l5G,"Rs.  2,000,000",2000000, Taxila,150 km,150,2007,Cars,Nissan
nissan,"Rs.  1,650,000",1650000, Lahore,"75,000 km",75000,2018,Cars,Nissan
Nissan clipper every17-21-23,"Rs.  2,225,000",2225000, Wazirabad,"54,000 km",54000,2017,Cars,Nissan
nissan juke,"Rs.  2,950,000",2950000, Multan,"86,000 km",86000,2016,Cars,Nissan
Nissan Clipper,"Rs.  1,000,000",1000000, Islamabad,"120,000 km",120000,2013,Cars,Nissan
Nissan Sunny 1993 forsale,"Rs.  500,000",500000, Wah,"200,000 km",200000,1993,Cars,Nissan
Nissan dayz highway star,"Rs.  2,300,000",2300000, Karachi,"102,500 km",102500,2015,Cars,Nissan
nissan clipper 11/16,"Rs.  1,050,000",1050000, Karachi,"1,000 km",1000,2011,Cars,Nissan
Nissan Moco 2013 Registered 2016,"Rs.  2,050,000",2050000, Lahore,"82,000 km",82000,2013,Cars,Nissan
Nissan Days Roox Highway Star full option available for Sale,"Rs.  2,500,000",2500000, Peshawar,"70,000 km",70000,2019,Cars,Nissan
Nissan clipper 2020 for sale,"Rs.  2,700,000",2700000, Karachi,"110,000 km",110000,2020,Cars,Nissan
Nissan dayz 2021model fresh import 2023,"Rs.  3,900,000",3900000, Lahore,"5,000 km",5000,2021,Cars,Nissan
Nissan sunny,"Rs.  300,000",300000, Tando Allahyar,"100,000 km",100000,1988,Cars,Nissan
nissan sunny 92 model,"Rs.  550,000",550000, Jhelum,"999,999 km",999999,1992,Cars,Nissan
nissan sunny model 1988 urgant sale 03402577751,"Rs.  180,000",180000, Karachi,"10,000 km",10000,1988,Cars,Nissan
Nissan march urgent sale,"Rs.  1,435,000",1435000, Islamabad,"117,603 km",117603,2007,Cars,Nissan
Nissan Moco 660cc Automatic Japanese 03422300162,"Rs.  1,050,000",1050000, Karachi,"150,000 km",150000,2006,Cars,Nissan
nissan clipper cplc ppers clear,"Rs.  1,700,000",1700000, Karachi,"98,000 km",98000,2014,Cars,Nissan
Nissan sunny,"Rs.  680,000",680000, Karachi,"175,000 km",175000,1998,Cars,Nissan
Nissan Roox,"Rs.  1,610,000",1610000, Lahore,"150,000 km",150000,2014,Cars,Nissan
Nissan Bluebird Sylphy 15S 2007,"Rs.  3,280,000",3280000, Rawalpindi,"96,000 km",96000,2007,Cars,Nissan
Nissan juke urban selection 12/18/18,"Rs.  4,000,000",4000000, Lahore,"168,000 km",168000,2012,Cars,Nissan
Nissan clliper,"Rs.  1,060,000",1060000, Karachi,"130,000 km",130000,2017,Cars,Nissan
NISSAN DAYZ,"Rs.  3,350,000",3350000, Karachi,"6,500 km",6500,2020,Cars,Nissan
Nissan Clipper 2016 Registration 2022 b2b,"Rs.  2,450,000",2450000, Karachi,"150,000 km",150000,2016,Cars,Nissan
Nissan Clipper 12/17,"Rs.  1,300,000",1300000, Karachi,"89,000 km",89000,2012,Cars,Nissan
Nissan sunny 1992 model ( fixed price),"Rs.  400,000",400000, Karachi,"1,000 km",1000,1992,Cars,Nissan
Vintage Car Nissan New Engine 1300CC Just Like New,"Rs.  530,000",530000, Bahawalnagar,"200,000 km",200000,1990,Cars,Nissan
nissan juke in neat condition,"Rs.  3,200,000",3200000, Karachi,"144,250 km",144250,2011,Cars,Nissan
"Nissan dayz 2013/2017, fully automatic push start ,keyless entry","Rs.  2,050,000",2050000, Faisalabad,"84,500 km",84500,2013,Cars,Nissan
nissan sunny,"Rs.  280,000",280000, Karachi,"200,000 km",200000,1986,Cars,Nissan
nissan sunny jx,"Rs.  495,000",495000, Karachi,"123,456 km",123456,1992,Cars,Nissan
Nissan Sunny Car Lush condition,"Rs.  750,000",750000, Wah,"91,888 km",91888,1993,Cars,Nissan
nissan juke japan  car,"Rs.  3,800,000",3800000, Sangla Hill,"100,000 km",100000,2020,Cars,Nissan
NISSAN CP 12,"Rs.  4,450,000",4450000, Karachi,"12,345 km",12345,1993,Cars,Nissan
NISSAN AD VAN HOME USED CAR AUTOMATIC FULL ORIGINAL CONDITION,"Rs.  1,700,000",1700000, Rawalpindi,"124,000 km",124000,2007,Cars,Nissan
"Nissan Micra/March in genuine condition Manual gear 2001, 2007 import","Rs.  830,000",830000, Islamabad,"156,000 km",156000,2001,Cars,Nissan
NISSAN MOCO G PUSH START 2014/17,"Rs.  1,975,000",1975000, Karachi,"86,000 km",86000,2014,Cars,Nissan
Nissan note Nismo,"Rs.  4,925,000",4925000, Lahore,"49,520 km",49520,2017,Cars,Nissan
Nissan 86 full lush condition new efi engin aloye rim power stering,"Rs.  460,000",460000, Gujranwala,15 km,15,1986,Cars,Nissan
Nissan sunny B13 home use,"Rs.  495,000",495000, Lahore,18 km,18,1993,Cars,Nissan
Nissan Clipper 2018 model,"Rs.  2,370,000",2370000, Peshawar,"117,000 km",117000,2018,Cars,Nissan
Nissan sunny 1986 register 1994,"Rs.  400,000",400000, Karachi,"100,000 km",100000,1996,Cars,Nissan
Nissan dayz excellent condition,"Rs.  2,180,000",2180000, Lahore,"910,000 km",910000,2018,Cars,Nissan
sunny Nissan model 1998,"Rs.  790,000",790000, Faisalabad,"23,580 km",23580,1998,Cars,Nissan
nissan moco like move esse mira wagon r alto life zest,"Rs.  1,890,000",1890000, Lahore,"87,000 km",87000,2016,Cars,Nissan
Nissan AD Automatic 2006/2012,"Rs.  1,250,000",1250000, Karachi,"100,000 km",100000,2006,Cars,Nissan
nissan dayz,"Rs.  2,425,000",2425000, Lahore,"105,850 km",105850,2015,Cars,Nissan
NISSAN CLIPPER,"Rs.  1,490,000",1490000, Rawalpindi,"123,456 km",123456,2013,Cars,Nissan
NISSAN SUNNY NEAT AND CLEAN,"Rs.  680,000",680000, Karachi,"100,000 km",100000,1999,Cars,Nissan
Nissan 2d for sle,"Rs.  850,000",850000, Lahore,"150,000 km",150000,1998,Cars,Nissan
Nissan Sunny 86 Model,"Rs.  420,000",420000, Gujrat,"123,456 km",123456,1986,Cars,Nissan
Nissan Sunny B12 1987 1300cc,"Rs.  450,000",450000, Multan,"161,308 km",161308,1987,Cars,Nissan
Nissan Sunny Diesel,"Rs.  525,000",525000, Gujrat,"100,000 km",100000,1990,Cars,Nissan
Nissan sunny GTR . . . . 1300cc engine,"Rs.  280,000",280000, Abbottabad,"6,006 km",6006,1989,Cars,Nissan
Nissan days highwaystar  2014/2017 83k mileage Climate control Push,"Rs.  2,300,000",2300000, Karachi,"83,000 km",83000,2014,Cars,Nissan
Nissan cliper,"Rs.  1,474,000",1474000, Lahore,"75,142 km",75142,2013,Cars,Nissan
Nissan Dayz 4x4 Full Opshan,"Rs.  2,200,000",2200000, Lahore,"68,000 km",68000,2017,Cars,Nissan
Nissan Moco Mr Wegon 660cc Japanese,"Rs.  1,585,000",1585000, Islamabad,"88,000 km",88000,2011,Cars,Nissan
Nissan DayZ 2013 model registered in 2016 in lahore,"Rs.  2,200,000",2200000, Pakistan,"85,000 km",85000,2013,Cars,Nissan
"Nissan Sunny 1988, Recondition 1994","Rs.  310,000",310000, Karachi,"250,000 km",250000,1988,Cars,Nissan
Sale Nissan sunny,"Rs.  510,000",510000, Islamabad,"100,000 km",100000,1992,Cars,Nissan
nissan moco,"Rs.  2,100,000",2100000, Mandi Bahauddin,"95,000 km",95000,2015,Cars,Nissan
Nissan Dayz 2013 model import 2019,"Rs.  2,250,000",2250000, Lahore,"105,000 km",105000,2013,Cars,Nissan
nissan days 2013,"Rs.  2,100,000",2100000, Peshawar,"124,000 km",124000,2013,Cars,Nissan
Nissan days,"Rs.  2,450,000",2450000, Lahore,"85,000 km",85000,2017,Cars,Nissan
Nissan Sunny 1993/1994,"Rs.  250,000",250000, Karachi,"999,999 km",999999,1993,Cars,Nissan
nissan Clipper PC Limited,"Rs.  2,375,000",2375000, Karachi,"189,000 km",189000,2018,Cars,Nissan
Nissan Sunny 1986 Smoothly Drive,"Rs.  200,000",200000, Karachi,"165,000 km",165000,1986,Cars,Nissan
sunny Nissan 1987 japan,"Rs.  300,000",300000, Quetta,"160,000 km",160000,1987,Cars,Nissan
sunny nissan 88 good condition,"Rs.  550,000",550000, Rawalpindi,"200,000 km",200000,1988,Cars,Nissan
"Nissan Dayz 660 CC , New Shape , New Engine","Rs.  3,290,000",3290000, Lahore,"30,000 km",30000,2019,Cars,Nissan
NISSAN WINGROAD,"Rs.  1,720,000",1720000, Swabi,"150,000 km",150000,2006,Cars,Nissan
Nissan Sunny Diesel 1992 Lahore Registered,"Rs.  370,000",370000, Islamabad,"100,000 km",100000,1992,Cars,Nissan
Nissan sunny,"Rs.  410,000",410000, Murree,"150,000 km",150000,1985,Cars,Nissan
Nissan e Note first owner,"Rs.  4,575,000",4575000, Lahore,"52,000 km",52000,2018,Cars,Nissan
Nissan pino Japanese (Alto) for sale,"Rs.  1,560,000",1560000, Islamabad,"110,000 km",110000,2008,Cars,Nissan
nissan sunny,"Rs.  340,000",340000, Lahore,123 km,123,1986,Cars,Nissan
nissan dayz full OPtion 2014/2016,"Rs.  2,400,000",2400000, Islamabad,50 km,50,2014,Cars,Nissan
Nissan RS Otti Automatic genuine better then Alto/Ek wagon/Cultus/,"Rs.  1,450,000",1450000, Lahore,"105,000 km",105000,2013,Cars,Nissan
Nissan clipper 2013/2020,"Rs.  1,280,000",1280000, Karachi,"86,000 km",86000,2013,Cars,Nissan
Nissan dayz2015 highway star,"Rs.  2,300,000",2300000, Sialkot,"75,000 km",75000,2015,Cars,Nissan
Nissan sunny in outstanding condition. . .,"Rs.  775,000",775000, Attock,"100,000 km",100000,1994,Cars,Nissan
Nissan Days outstanding condition,"Rs.  2,250,000",2250000, Islamabad,"67,000 km",67000,2014,Cars,Nissan
Nissan Note 2007 Model 2013 Registered,"Rs.  2,250,000",2250000, Islamabad,"120,000 km",120000,2007,Cars,Nissan
NISSAN SUNNY,"Rs.  250,000",250000, Karachi,"200,000 km",200000,1989,Cars,Nissan
Nissan dayz high wah star,"Rs.  1,595,000",1595000, Lahore,"12,345 km",12345,2015,Cars,Nissan
nissan dayz first owner,"Rs.  2,150,000",2150000, Lahore,"40,000 km",40000,2021,Cars,Nissan
nissan cliper,"Rs.  2,400,000",2400000, Lahore,"90,000 km",90000,2016,Cars,Nissan
Total genwan 13/16 Nissan Moco,"Rs.  1,895,000",1895000, Gujranwala,"92,000 km",92000,2013,Cars,Nissan
NISSAN DAYZ ROOX,"Rs.  2,700,000",2700000, Faisalabad,"36,000 km",36000,2017,Cars,Nissan
Nissan Dayz X,"Rs.  3,800,000",3800000, Karachi,"3,400 km",3400,2021,Cars,Nissan
nissan dayz 2019,"Rs.  2,950,000",2950000, Lahore,"120,000 km",120000,2019,Cars,Nissan
Nissan March 1.3,"Rs.  1,500,000",1500000, Peshawar,"200,000 km",200000,2007,Cars,Nissan
NISSAN JUKE,"Rs.  2,675,000",2675000, Karachi,"89,000 km",89000,2010,Cars,Nissan
Nissan Dayz Highway Star 23,"Rs.  3,310,000",3310000, Karachi,"28,000 km",28000,2018,Cars,Nissan
Nissan sunny 1987 modle Punjab nbr,"Rs.  640,000",640000, Bahawalpur,"12,345 km",12345,1987,Cars,Nissan
Brand-new Nissan Dayz for sale in cheap,"Rs.  4,050,000",4050000, Karachi,"20,000 km",20000,2019,Cars,Nissan
nissan sunny,"Rs.  400,000",400000, Hasan Abdal,"405,727 km",405727,1988,Cars,Nissan
Nissan Sunny,"Rs.  600,000",600000, Wah,"120,000 km",120000,1989,Cars,Nissan
Nissan Wingroad Japanese Automatic 2012,"Rs.  1,900,000",1900000, Karachi,"100,000 km",100000,2012,Cars,Nissan
Nissan Bluebird 0314///2767163,"Rs.  2,200,000",2200000, Faisalabad,"130,500 km",130500,2007,Cars,Nissan
Nissan Dayz highway star top of the line 660cc B2B original,"Rs.  2,450,000",2450000, Karachi,"80,000 km",80000,2014,Cars,Nissan
Nissan Note E Power,"Rs.  5,300,000",5300000, Islamabad,"112,000 km",112000,2019,Cars,Nissan
sunny Nissan 1986 model Japan simble,"Rs.  465,000",465000, Rawalpindi,"27,000 km",27000,1986,Cars,Nissan
Nissan dayz,"Rs.  2,235,000",2235000, Gujranwala,"89,000 km",89000,2014,Cars,Nissan
"nissan Dayz highway star, B2B 100% original","Rs.  2,500,000",2500000, Karachi,"38,000 km",38000,2015,Cars,Nissan
Nissan sunny,"Rs.  285,000",285000, Sheikhüpura,"100,000 km",100000,1985,Cars,Nissan
03251866893 contact Nissan suny 1990 ac ok 1300 engen,"Rs.  430,000",430000, Wah,786 km,786,1990,Cars,Nissan
urgently selling Nissan Days highway Star 2014/18,"Rs.  3,000,000",3000000, Karachi,"85,000 km",85000,2014,Cars,Nissan
Nissan Otti,"Rs.  1,700,000",1700000, Karachi,"145,000 km",145000,2012,Cars,Nissan
Nissan Mocco (2010-14) FULL OPTION,"Rs.  1,775,000",1775000, Sialkot,"91,000 km",91000,2010,Cars,Nissan
nissan sanny for sale,"Rs.  550,000",550000, Islamabad,"5,000 km",5000,1993,Cars,Nissan
Nissan Tiida Latio 1.5 Model 2007 Registered 2012,"Rs.  1,480,000",1480000, Lahore,"155,645 km",155645,2007,Cars,Nissan
Nissan dayz 2013/16,"Rs.  1,870,000",1870000, Lahore,"95,000 km",95000,2013,Cars,Nissan
Nissan sunny for sale,"Rs.  525,000",525000, Islamabad,"500,000 km",500000,1985,Cars,Nissan
Nissan Sunny,"Rs.  590,000",590000, Wah,2 km,2,1989,Cars,Nissan
Nissan clipper NV100 2013,"Rs.  1,540,000",1540000, Karachi,"86,000 km",86000,2013,Cars,Nissan
Nissan sunny 1.3,"Rs.  680,000",680000, Islamabad,"110,000 km",110000,1990,Cars,Nissan
Nissan Note Nismo,"Rs.  4,895,000",4895000, Lahore,"45,000 km",45000,2017,Cars,Nissan
Alto Nissan pino for sale,"Rs.  1,550,000",1550000, Islamabad,"101,500 km",101500,2008,Cars,Nissan
B12 sunny nissan,"Rs.  320,000",320000, Islamabad,"99,999 km",99999,1988,Cars,Nissan
Nissan Pino 2008/2013 G2 Genuine,"Rs.  1,595,000",1595000, Rawalpindi,"95,000 km",95000,2008,Cars,Nissan
Nissan Pino 2008 Reg 2012 Fully Auto,"Rs.  1,540,000",1540000, Karachi,"79,000 km",79000,2008,Cars,Nissan
Nissan Days Highway Star,"Rs.  3,400,000",3400000, Hyderabad,"78,000 km",78000,2019,Cars,Nissan
Nissan Clipper,"Rs.  1,410,000",1410000, Karachi,"90,000 km",90000,2013,Cars,Nissan
Nissan Juke 16GT,"Rs.  5,100,000",5100000, Rahimyar Khan,"90,000 km",90000,2016,Cars,Nissan
Nissan Dayz 2013/17 just in mint condition,"Rs.  1,780,000",1780000, Karachi,"108,000 km",108000,2013,Cars,Nissan
Nissan ad van,"Rs.  2,100,000",2100000, Okara,"169,000 km",169000,2012,Cars,Nissan
NISSAN AD 1.3 2006/2014,"Rs.  1,625,000",1625000, Lahore,"123,456 km",123456,2006,Cars,Nissan
NISSAN SUNNY B12 FAMILY USED CAR,"Rs.  420,000",420000, Karachi,"1,000 km",1000,1988,Cars,Nissan
Nissan sunny 1997 model Bhr sy paint  andar sy total jeniun,"Rs.  1,050,000",1050000, Lahore,"150,000 km",150000,1997,Cars,Nissan
argent call you sall nissan sunny 1989 modal,"Rs.  350,000",350000, Kasur,"500,000 km",500000,1989,Cars,Nissan
Nissan sunny 2011,"Rs.  1,875,000",1875000, Lahore,100 km,100,2011,Cars,Nissan
nissan sunny,"Rs.  300,000",300000, Lahore,"123,456 km",123456,1986,Cars,Nissan
NISSAN DAYS 14/16,"Rs.  2,180,000",2180000, Karachi,"70,000 km",70000,2016,Cars,Nissan
nissan sunny,"Rs.  2,400,000",2400000, Attock,"115,000 km",115000,2010,Cars,Nissan
Nissan march 1997 model reconditioned 2007,"Rs.  890,000",890000, Karachi,"100,000 km",100000,1997,Cars,Nissan
Nissan Sunny Ex Saloon 2010 Automatic,"Rs.  1,950,000",1950000, Karachi,"79,000 km",79000,2010,Cars,Nissan
Nissan Dayz 2015/17,"Rs.  2,280,000",2280000, Karachi,"73,000 km",73000,2015,Cars,Nissan
nissan 1987 model register in 88,"Rs.  450,000",450000, Peshawar,"158,500 km",158500,1987,Cars,Nissan
Nissan double cabin,"Rs.  750,000",750000, Lahore,"200,000 km",200000,1991,Cars,Nissan
nissan wingroad 2007,"Rs.  2,150,000",2150000, Attock,"231,000 km",231000,2007,Cars,Nissan
Nissan Dayz 14/17,"Rs.  2,500,000",2500000, Sialkot,"64,000 km",64000,2014,Cars,Nissan
Nissan Moco 13/16 push start. . . Ene charge,"Rs.  1,990,000",1990000, Rawalpindi,"98,000 km",98000,2016,Cars,Nissan
Urgent Sale Nissan Cliper 2013/2018 call 03123614674,"Rs.  1,420,000",1420000, Karachi,70 km,70,2013,Cars,Nissan
Nissan march,"Rs.  910,000",910000, Gujrat,"149,000 km",149000,2000,Cars,Nissan
Nissan Juke 2010 model,"Rs.  2,700,000",2700000, Gujranwala,"90,000 km",90000,2010,Cars,Nissan
